[001]Pressure   [002]radm   [003]AVmax   [004]I(C+, 158 um)   [005]I(O, 145 um)
1.0000e+07   1.9000e+04   1.0000e+01   5.6086e-04   5.2453e-04
1.0000e+07   3.5000e+00   1.0000e+01   2.0076e-07   4.1352e-08
1.0000e+07   3.5000e+01   1.0000e+01   1.1298e-05   3.7244e-06
1.0000e+07   3.5000e+02   1.0000e+01   1.3492e-04   7.6171e-05
1.0000e+07   3.5000e+03   1.0000e+01   3.6833e-04   3.0728e-04
1.0000e+07   3.5000e+04   1.0000e+01   6.3204e-04   6.0455e-04
1.0000e+07   6.7000e+02   1.0000e+01   1.9507e-04   1.2893e-04
1.0000e+07   6.7000e+03   1.0000e+01   4.4108e-04   3.8833e-04
1.0000e+07   6.7000e+04   1.0000e+01   7.0805e-04   6.8683e-04
1.0000e+08   1.0000e+00   1.0000e+01   5.8479e-11   1.6570e-10
1.0000e+08   1.0000e+01   1.0000e+01   2.3194e-08   1.4374e-08
1.0000e+08   1.0000e+02   1.0000e+01   3.7880e-06   5.7427e-06
1.0000e+08   1.0000e+03   1.0000e+01   9.0732e-05   1.7761e-04
1.0000e+08   1.0000e+04   1.0000e+01   3.0376e-04   7.1476e-04
1.0000e+08   1.0000e+05   1.0000e+01   5.5033e-04   1.4034e-03
1.0000e+08   1.9000e+02   1.0000e+01   1.1366e-05   1.8327e-05
1.0000e+08   1.9000e+03   1.0000e+01   1.4239e-04   2.9966e-04
1.0000e+08   1.9000e+04   1.0000e+01   3.7187e-04   9.0075e-04
1.0000e+08   3.5000e+00   1.0000e+01   7.6814e-10   9.5280e-10
1.0000e+08   3.5000e+01   1.0000e+01   4.9777e-07   6.2218e-07
1.0000e+08   3.5000e+02   1.0000e+01   2.8619e-05   4.9076e-05
1.0000e+08   3.5000e+03   1.0000e+01   1.9792e-04   4.3798e-04
1.0000e+08   3.5000e+04   1.0000e+01   4.3745e-04   1.0841e-03
1.0000e+08   6.7000e+02   1.0000e+01   6.2755e-05   1.1659e-04
1.0000e+08   6.7000e+03   1.0000e+01   2.6226e-04   6.0430e-04
1.0000e+08   6.7000e+04   1.0000e+01   5.0719e-04   1.2815e-03
1.0000e+09   1.0000e+00   1.0000e+01   2.2757e-12   4.7250e-11
1.0000e+09   1.0000e+01   1.0000e+01   1.5549e-10   8.0843e-10
1.0000e+09   1.0000e+02   1.0000e+01   8.2940e-08   2.6212e-07
1.0000e+09   1.0000e+03   1.0000e+01   9.7566e-06   7.0072e-05
1.0000e+09   1.0000e+04   1.0000e+01   8.4388e-05   4.8841e-04
1.0000e+09   1.0000e+05   1.0000e+01   2.8551e-04   1.2393e-03
1.0000e+09   1.9000e+02   1.0000e+01   4.2306e-07   2.0722e-06
1.0000e+09   1.9000e+03   1.0000e+01   2.0261e-05   1.4788e-04
1.0000e+09   1.9000e+04   1.0000e+01   1.3045e-04   6.7363e-04
1.0000e+09   3.5000e+00   1.0000e+01   1.4404e-11   1.8598e-10
1.0000e+09   3.5000e+01   1.0000e+01   4.3639e-09   7.2941e-09
